,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
2801,3056,2391796,PAYMENT,6535,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-27 00:12:54,[WELCOME] 디자인 3만원할인,281000.0,POINT,251000,30000,251000,0,12,27
2822,3079,2391607,PAYMENT,39077,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-26 23:12:53,[WELCOME] 디자인 3만원할인,250000.0,CARD,220000,30000,220000,0,12,26
2831,3088,2391509,PAYMENT,94755,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-26 23:12:40,[20% 할인] 네오아카데미 오카즈의 판타지 세계관 게임 캐릭터 디자인 할인 쿠폰,220000.0,CARD,176000,44000,176000,0,12,26
2844,3101,2391302,PAYMENT,46400,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-26 22:12:16,[WELCOME] 디자인 3만원할인,228000.0,POINT,198000,30000,198000,0,12,26
1569,1660,2403323,PAYMENT,22380,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-12-29 19:12:24,[증정] 1+1 이벤트! 네오아카데미 강의 할인 쿠폰 (12.30 23:59까지 사용 가능) ,281000.0,CARD,61000,220000,61000,0,12,29
3422,3790,2386501,PAYMENT,18776,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-12-25 19:12:15,"[크리스마스 깜짝쿠폰] 온라인 강의 50,000원 즉시할인",280000.0,CARD,230000,50000,230000,0,12,25
3400,3767,2386570,PAYMENT,20675,212598,FASTCAMPUS,올인원,일러스트,네오아카데미 : 설의 매트페인팅으로 만드는 감성적인 캐주얼 일러스트,2022-12-25 19:12:51,-,500000.0,POINT,500000,0,500000,0,12,25
3380,3747,2386683,PAYMENT,15503,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-25 20:12:04,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",227000.0,POINT,197000,30000,197000,0,12,25
3315,3681,2387047,PAYMENT,2096,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-25 21:12:23,-,227000.0,POINT,227000,0,227000,0,12,25
3311,3676,2387063,PAYMENT,39149,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-25 22:12:29,"[크리스마스 깜짝쿠폰] 온라인 강의 30,000원 즉시할인",227000.0,TRANS,197000,30000,197000,0,12,25
3176,3539,2387584,PAYMENT,10102,213706,FASTCAMPUS,올인원,일러스트,네오아카데미: 프로피의 얼굴부터 시작하는 미소녀 캐릭터 스킬,2022-12-25 23:12:46,[WELCOME] 디자인 3만원할인,278000.0,POINT,248000,30000,248000,0,12,25
3162,3524,2387664,PAYMENT,15385,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-26 00:12:35,-,500000.0,CARD,500000,0,500000,0,12,26
3141,3502,2388212,PAYMENT,53968,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-26 06:12:29,-,228000.0,CARD,228000,0,228000,0,12,26
3087,3387,2388968,PAYMENT,28795,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-26 11:12:53,[WELCOME] 디자인 3만원할인,281000.0,CARD,251000,30000,251000,0,12,26
3078,3378,2389165,PAYMENT,81327,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-26 12:12:47,-,228000.0,CARD,228000,0,228000,0,12,26
2281,2434,2398352,PAYMENT,68001,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-28 15:12:31,[네오아카데미 수강생 대상] 후와리의 라이트 노벨 클래스 50% 할인 쿠폰,250000.0,CARD,125000,125000,125000,0,12,28
3049,3342,2389387,PAYMENT,31533,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-26 13:12:14,-,188000.0,TRANS,188000,0,188000,0,12,26
2989,3260,2390082,PAYMENT,94658,213706,FASTCAMPUS,올인원,일러스트,네오아카데미: 프로피의 얼굴부터 시작하는 미소녀 캐릭터 스킬,2022-12-26 15:12:56,[WELCOME] 디자인 3만원할인,279000.0,CARD,249000,30000,249000,0,12,26
2971,3240,2390238,PAYMENT,65639,214032,FASTCAMPUS,올인원,일러스트,네오아카데미: 3명의 아트디렉터에게 배우는 일러스트 스타터 kit,2022-12-26 16:12:23,[WELCOME] 디자인 3만원할인,565000.0,CARD,535000,30000,535000,0,12,26
2968,3237,2390318,PAYMENT,67216,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-26 17:12:59,[일러스트아카데미 이벤트] 오카즈 강의 무료수강권 당첨!,220000.0,PROMOTION,0,220000,0,0,12,26
2926,3189,2390583,PAYMENT,51525,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-26 18:12:25,[네오아카데미 수강생 대상] 오카즈의 게임 캐릭터 클래스 50% 할인 쿠폰,220000.0,CARD,110000,110000,110000,0,12,26
2917,3179,2390619,PAYMENT,48146,213315,FASTCAMPUS,올인원,일러스트,네오아카데미 : 킨티의 58개의 예제를 통해 배우는 캐주얼 캐릭터 완전판,2022-12-26 18:12:30,-,188000.0,CARD,188000,0,188000,0,12,26
2898,3160,2390745,PAYMENT,82032,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-26 19:12:27,-,228000.0,CARD,228000,0,228000,0,12,26
2891,3153,2390802,PAYMENT,24153,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-26 19:12:18,[네오아카데미 수강생 대상] 후와리의 라이트 노벨 클래스 50% 할인 쿠폰,250000.0,TRANS,125000,125000,125000,0,12,26
2882,3144,2390885,PAYMENT,12610,213706,FASTCAMPUS,올인원,일러스트,네오아카데미: 프로피의 얼굴부터 시작하는 미소녀 캐릭터 스킬,2022-12-26 20:12:15,[WELCOME] 디자인 3만원할인,279000.0,CARD,249000,30000,249000,0,12,26
2873,3134,2390985,PAYMENT,77282,212600,FASTCAMPUS,올인원,일러스트,네오아카데미 : 완케의 악마와 계약하는 초단기 일러스트 성장법,2022-12-26 20:12:24,-,281000.0,TRANS,281000,0,281000,0,12,26
2859,3117,2391135,PAYMENT,75224,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-26 21:12:33,[20% 할인] 네오아카데미 후와리의 스토리가 느껴지는 라이트 노벨 일러스트 할인 쿠폰,250000.0,CARD,200000,50000,200000,0,12,26
2854,3112,2391184,PAYMENT,10002,212599,FASTCAMPUS,올인원,일러스트,네오아카데미 : 까나의 초보자를 위한 SD 미니 캐릭터 그리기,2022-12-26 21:12:06,[WELCOME] 디자인 3만원할인,163000.0,TRANS,133000,30000,133000,0,12,26
3011,3296,2389956,PAYMENT,22199,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-26 15:12:28, 패캐머_온라인 쿠폰,250000.0,PROMOTION,0,250000,0,0,12,26
2280,2433,2398354,PAYMENT,2985,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-28 15:12:11,[네오아카데미 수강생 대상] 오카즈의 게임 캐릭터 클래스 50% 할인 쿠폰,220000.0,CARD,110000,110000,110000,0,12,28
2275,2428,2398380,PAYMENT,20549,214834,FASTCAMPUS,올인원,일러스트,네오아카데미: 오카즈의 판타지 세계관 게임 캐릭터 디자인,2022-12-28 13:12:01,-,220000.0,TRANSFER,110000,0,110000,0,12,28
2274,2427,2398381,PAYMENT,8374,214833,FASTCAMPUS,올인원,일러스트,네오아카데미 : 후와리의 스토리가 느껴지는 라이트 노벨 일러스트,2022-12-28 13:12:34,-,250000.0,TRANSFER,125000,0,125000,0,12,28
2032,2168,2400731,PAYMENT,11920,213752,FASTCAMPUS,올인원,일러스트,"네오아카데미 : 완케의 초단기 초보 탈출, 일러스트 기초 첫걸음",2022-12-29 07:12:27,-,228000.0,CARD,228000,0,228000,0,12,29
