,Unnamed: 0,거래id,유형,고객id,코스ID,사이트,포맷,카테고리,코스(상품) 이름,거래일자,쿠폰이름,판매가격,결제수단,실거래금액,쿠폰할인액,거래금액,환불금액,월,일
52879,58089,2091545,PAYMENT,9847,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-28 04:08:21,[WELCOME] The Red 강의 3만원 할인,196000.0,TRANS,166000,30000,166000,0,8,28
52885,58095,2091497,PAYMENT,53449,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 03:08:30,-,330000.0,CARD,330000,0,330000,0,8,28
52893,58103,2091483,PAYMENT,38695,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 02:08:48,-,330000.0,CARD,330000,0,330000,0,8,28
52896,58106,2091473,PAYMENT,87717,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 02:08:51,-,330000.0,CARD,330000,0,330000,0,8,28
52898,58108,2091469,PAYMENT,9991,210500,FASTCAMPUS,RED,디자인,The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,2022-08-28 02:08:01,-,375000.0,CARD,375000,0,375000,0,8,28
52940,58150,2091157,PAYMENT,81945,210405,FASTCAMPUS,RED,마케팅,The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,2022-08-27 23:08:24,[WELCOME] The Red 강의 3만원 할인,167000.0,CARD,137000,30000,137000,0,8,27
52950,58160,2091119,PAYMENT,4595,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-08-27 22:08:35,-,169000.0,CARD,169000,0,169000,0,8,27
52961,58171,2091084,PAYMENT,28951,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 22:08:11,[2만원 할인쿠폰] 김영하 작가의 씀으로써 작가가 되는 글쓰기 강의 할인 쿠폰,141000.0,CARD,121000,20000,121000,0,8,27
52986,58196,2090982,PAYMENT,57811,208258,FASTCAMPUS,RED,데이터 사이언스,The RED : Meta 연구원 문경식의 단일 이미지 인식을 통한 Human Pose Estimation,2022-08-27 21:08:49,[WELCOME] The Red 강의 3만원 할인,379000.0,TRANS,349000,30000,349000,0,8,27
53004,58214,2090882,PAYMENT,84924,202919,FASTCAMPUS,RED,프로그래밍,The RED : 프론트엔드 개발자 김태곤,2022-08-27 20:08:35,-,209000.0,CARD,209000,0,209000,0,8,27
53010,58220,2090859,PAYMENT,66104,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 20:08:25,[WELCOME] The Red 강의 2만원 할인,141000.0,CARD,121000,20000,121000,0,8,27
53017,58227,2090830,PAYMENT,20689,210776,FASTCAMPUS,RED,데이터 사이언스,The Red : 딥러닝 뉴럴네트워크 GNN,2022-08-27 20:08:42,[WELCOME] The Red 강의 3만원 할인,245000.0,CARD,215000,30000,215000,0,8,27
53042,58252,2090736,PAYMENT,94881,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 18:08:06,-,330000.0,CARD,330000,0,330000,0,8,27
53045,58255,2090716,PAYMENT,63754,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-28 19:08:25,[WELCOME] The Red 강의 2만원 할인,141000.0,VBANK,121000,20000,121000,0,8,28
53050,58260,2090700,PAYMENT,21647,204325,FASTCAMPUS,RED,마케팅,THE RED : 광고인 박웅현과 크리에이티브,2022-08-27 18:08:08,-,167000.0,CARD,167000,0,167000,0,8,27
53052,58262,2090695,PAYMENT,70714,210405,FASTCAMPUS,RED,마케팅,The red : 나만의 세계가 담긴 동화 쓰기 BY. 황선미,2022-08-27 18:08:38,[WELCOME] The Red 강의 2만원 할인,167000.0,CARD,147000,20000,147000,0,8,27
53054,58264,2090693,PAYMENT,40974,203180,FASTCAMPUS,RED,마케팅,The RED : 지브리 스튜디오 제작국장에게 듣는 스토리텔링 기획법,2022-08-27 18:08:54,[WELCOME] The Red 강의 3만원 할인,187000.0,CARD,157000,30000,157000,0,8,27
53056,58266,2090685,PAYMENT,10868,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 18:08:09,-,330000.0,CARD,330000,0,330000,0,8,27
53065,58275,2090621,PAYMENT,32037,209673,FASTCAMPUS,RED,프로그래밍,The RED : 강사룡의 앱 안정성 및 확장성 강화를 위한 Android 아키텍처,2022-08-27 17:08:24,[WELCOME] The Red 강의 3만원 할인,169000.0,CARD,139000,30000,139000,0,8,27
53066,58276,2090619,PAYMENT,87626,211893,FASTCAMPUS,RED,부동산/금융,The RED : 박지웅의 8천억 원 가치의 회사를 만드는 컴퍼니빌딩,2022-08-27 17:08:41,[WELCOME] The Red 강의 3만원 할인,196000.0,CARD,166000,30000,166000,0,8,27
53068,58278,2090607,PAYMENT,67600,212512,FASTCAMPUS,RED,마케팅,The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,2022-08-27 17:08:25,-,330000.0,CARD,330000,0,330000,0,8,27
