,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
용호수의 돈 버는 실전 영상 제작,1,1,0,1,4,1,3,1,3,2,2,0,2,0,0,1,0,3,0,1,2,2,1,2,1,3,0,0,2,2,2
초격차 패키지 : 직장인을 위한 파이썬 데이터 분석,1,1,1,0,11,0,4,7,10,2,9,3,7,3,3,0,0,0,2,3,3,2,0,1,6,9,2,1,4,3,7
The RED : 고객 경험을 개선하는 A/B테스트 기반 모바일 앱 개발 by 이승민,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
초격차 패키지 : 한 번에 끝내는 딥러닝/인공지능,1,0,1,1,2,3,2,1,3,2,3,4,2,1,1,1,3,3,3,3,4,4,3,2,4,6,4,1,5,0,5
THE RED : Area Chair 이광무 교수의 Neural Fields & 3D 컴퓨터 비전,1,2,1,0,4,2,1,1,1,1,1,1,2,2,3,0,0,2,0,0,1,0,1,0,1,1,0,0,0,1,3
초격차 패키지 : 한 번에 끝내는 컴퓨터비전,1,0,1,0,5,4,2,8,5,6,4,2,2,1,2,3,2,9,4,4,4,2,2,2,1,1,3,4,1,1,4
Prometheus와 Grafana를 이용한 실시간 모니터링 시각화,1,0,0,0,2,2,0,1,2,1,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1
올인원 패키지 : 실패 없이 완주하는 파이썬 데이터 분석 입문,1,0,0,0,3,0,2,3,3,1,1,5,5,3,3,1,1,1,0,1,0,1,3,2,1,1,1,2,2,3,2
초격차 패키지 : 한 번에 끝내는 주식 투자의 모든 것,1,0,1,1,1,3,3,1,2,1,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1
Kafka 완전 정복 : 클러스터 구축부터 MSA 환경 활용까지,1,0,0,0,2,0,1,1,5,1,1,1,1,0,0,0,0,0,0,2,2,1,3,0,0,1,0,0,0,3,0
The RED : 나 자신과 여행하는 에세이 창작법 by. 이병률,1,1,6,15,5,5,5,6,8,6,9,4,3,3,2,0,6,3,1,4,5,4,1,3,4,5,2,2,2,3,4
The Red : GPT3 거대모델과 블록체인의 결합: AINFT & Web 3.0의 미래,1,0,0,0,2,0,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
리코더팩토리와 함께하는 나만의 첫 캐릭터와 브랜드,1,0,0,1,2,2,0,1,0,0,5,2,1,0,1,0,1,0,1,0,0,0,4,2,0,0,0,0,1,0,1
The RED : Figma로 끝내는 모바일 UXUI 디자인 프로젝트 Kit,1,0,0,1,3,0,3,0,1,0,2,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,2,1,0,2,2
편집하는여자의 영상편집 마스터클래스 - 제 6강 다양한 효과를 응용하여 애프터이펙트 마스터,1,3,2,2,7,3,4,4,8,0,4,2,1,4,1,3,2,0,1,5,3,2,1,0,4,2,3,3,1,5,8
올인원 패키지 : 권오상의 금융 아카데미 - M&A 사례로 배우는 재무제표 영향 (수강시간 제한),1,2,0,0,0,7,2,1,0,0,0,0,0,1,1,0,1,0,0,0,3,1,0,0,0,1,0,1,1,0,3
초격차 패키지 : 30개 프로젝트로 배우는 Android 앱 개발 with Kotlin,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
올인원 패키지 : 리마의 로맨스판타지 웹소설 일러스트,1,0,0,0,3,3,1,1,3,3,2,0,0,0,0,0,1,1,0,0,0,1,0,2,2,0,2,0,1,2,1
Kubernetes 자격증 마스터 클래스 : CKA/CKAD/CKS,1,3,0,0,3,2,1,1,0,0,1,1,1,0,0,1,0,1,1,2,2,2,1,1,1,4,0,2,0,1,3
The Red : 씀으로써 작가가 되는 글쓰기 by. 김영하,1,3,2,1,5,2,3,2,0,1,6,3,7,2,4,2,2,5,5,3,4,1,5,1,6,3,4,5,3,4,8
